epoch,step,train_loss,val_acc,val_loss,train_acc,test_acc
0,49,0.6883479952812195,,,,
0,99,0.21015112102031708,,,,
0,149,0.12927302718162537,,,,
0,199,0.11711589246988297,,,,
0,249,0.092458575963974,,,,
0,299,0.11798522621393204,,,,
0,349,0.32474517822265625,,,,
0,399,0.18484029173851013,,,,
0,449,0.09603793919086456,,,,
0,499,0.03661228343844414,,,,
0,549,0.1042347401380539,,,,
0,599,0.16435350477695465,,,,
0,649,0.0890006572008133,,,,
0,699,0.08208908885717392,,,,
0,749,0.06125827506184578,,,,
0,799,0.02162303403019905,,,,
0,849,0.14686210453510284,,,,
0,858,,0.974399983882904,0.083262138068676,,
0,858,,,,0.9352444410324097,
1,899,0.04353988543152809,,,,
1,949,0.3239596486091614,,,,
1,999,0.04685625061392784,,,,
1,1049,0.03785531967878342,,,,
1,1099,0.09271282702684402,,,,
1,1149,0.21529175341129303,,,,
1,1199,0.11273176223039627,,,,
1,1249,0.03701632469892502,,,,
1,1299,0.016540033742785454,,,,
1,1349,0.020903564989566803,,,,
1,1399,0.1430637091398239,,,,
1,1449,0.058689575642347336,,,,
1,1499,0.0360613614320755,,,,
1,1549,0.015352193266153336,,,,
1,1599,0.11745458841323853,,,,
1,1649,0.1427992731332779,,,,
1,1699,0.02478986233472824,,,,
1,1717,,0.9851999878883362,0.050448834896087646,,
1,1717,,,,0.9823559522628784,
2,1749,0.016402456909418106,,,,
2,1799,0.04273547604680061,,,,
2,1849,0.002499776193872094,,,,
2,1899,0.005987183190882206,,,,
2,1949,0.1200009435415268,,,,
2,1999,0.044900719076395035,,,,
2,2049,0.010009616613388062,,,,
2,2099,0.04914379492402077,,,,
2,2149,0.03408602997660637,,,,
2,2199,0.011495132930576801,,,,
2,2249,0.07587767392396927,,,,
2,2299,0.07726766914129257,,,,
2,2349,0.11164072155952454,,,,
2,2399,0.010954746045172215,,,,
2,2449,0.0407983660697937,,,,
2,2499,0.06818441301584244,,,,
2,2549,0.0059066698886454105,,,,
2,2576,,0.9864000082015991,0.040583301335573196,,
2,2576,,,,0.9882312417030334,
3,2599,0.02246721461415291,,,,
3,2649,0.00211287010461092,,,,
3,2699,0.021653058007359505,,,,
3,2749,0.0031291113700717688,,,,
3,2799,0.043432727456092834,,,,
3,2849,0.04190172255039215,,,,
3,2899,0.22712060809135437,,,,
3,2949,0.018269840627908707,,,,
3,2999,0.006176405120640993,,,,
3,3049,0.013967100530862808,,,,
3,3099,0.11673246324062347,,,,
3,3149,0.007798498030751944,,,,
3,3199,0.014179999940097332,,,,
3,3249,0.01571798138320446,,,,
3,3299,0.017311757430434227,,,,
3,3349,0.04221590235829353,,,,
3,3399,0.0020618452690541744,,,,
3,3435,,0.9869999885559082,0.042316023260354996,,
3,3435,,,,0.9897046089172363,
4,3449,0.005341504700481892,,,,
4,3499,0.0025432310067117214,,,,
4,3549,0.004533351399004459,,,,
4,3599,0.002366409171372652,,,,
4,3649,0.0005037282826378942,,,,
4,3699,0.027730856090784073,,,,
4,3749,0.0018536385614424944,,,,
4,3799,0.0259147509932518,,,,
4,3849,0.0033129695802927017,,,,
4,3899,0.004995682276785374,,,,
4,3949,0.0013642567209899426,,,,
4,3999,0.004449053201824427,,,,
4,4049,0.06104351952672005,,,,
4,4099,0.0016144986730068922,,,,
4,4149,0.01729593612253666,,,,
4,4199,0.0015825135633349419,,,,
4,4249,0.04148733243346214,,,,
4,4294,,0.9894000291824341,0.03304309770464897,,
4,4294,,,,0.9924512505531311,
5,4295,,,,,0.989799976348877
