epoch,step,train_loss,val_acc,val_loss,train_acc
0,49,0.8858240842819214,,,
0,99,0.3893882930278778,,,
0,149,0.2719336450099945,,,
0,199,0.1947661191225052,,,
0,249,0.2517302632331848,,,
0,299,0.27500998973846436,,,
0,349,0.21672938764095306,,,
0,399,0.15806594491004944,,,
0,449,0.04364451766014099,,,
0,499,0.14778350293636322,,,
0,549,0.0733596459031105,,,
0,599,0.15700894594192505,,,
0,649,0.06829971820116043,,,
0,699,0.12644633650779724,,,
0,749,0.05481254681944847,,,
0,799,0.13477295637130737,,,
0,849,0.05393784120678902,,,
0,858,,0.9718000292778015,0.09621147811412811,
0,858,,,,0.9368815422058105
1,899,0.032101232558488846,,,
1,949,0.05855482444167137,,,
1,999,0.06348954886198044,,,
1,1049,0.04450506716966629,,,
1,1099,0.029756814241409302,,,
1,1149,0.01993379183113575,,,
1,1199,0.06289815902709961,,,
1,1249,0.07771840691566467,,,
1,1299,0.08669162541627884,,,
1,1349,0.06510701030492783,,,
1,1399,0.10660107433795929,,,
1,1449,0.19241732358932495,,,
1,1499,0.11116215586662292,,,
1,1549,0.06763177365064621,,,
1,1599,0.11094610393047333,,,
1,1649,0.06443659216165543,,,
1,1699,0.28315499424934387,,,
1,1717,,0.9764000177383423,0.08380619436502457,
1,1717,,,,0.9739886522293091
2,1749,0.1342204213142395,,,
2,1799,0.1227770447731018,,,
2,1849,0.06274177134037018,,,
2,1899,0.024225126951932907,,,
2,1949,0.07078860700130463,,,
2,1999,0.06576288491487503,,,
2,2049,0.027602553367614746,,,
2,2099,0.07615919411182404,,,
2,2149,0.021954432129859924,,,
2,2199,0.03445643559098244,,,
2,2249,0.13706175982952118,,,
2,2299,0.0346103198826313,,,
2,2349,0.17069345712661743,,,
2,2399,0.06449057161808014,,,
2,2449,0.15516838431358337,,,
2,2499,0.1682424247264862,,,
2,2549,0.08769693225622177,,,
2,2576,,0.9778000116348267,0.07564953714609146,
2,2576,,,,0.9786816239356995
3,2599,0.11338842660188675,,,
3,2649,0.1390451341867447,,,
3,2699,0.038928281515836716,,,
3,2749,0.018643846735358238,,,
3,2799,0.06206948310136795,,,
3,2849,0.10373861342668533,,,
3,2899,0.017061004415154457,,,
3,2949,0.025127777829766273,,,
3,2999,0.012098368257284164,,,
3,3049,0.0014193598181009293,,,
3,3099,0.032637786120176315,,,
3,3149,0.05050802230834961,,,
3,3199,0.07720167934894562,,,
3,3249,0.023102296516299248,,,
3,3299,0.056291237473487854,,,
3,3349,0.07641121000051498,,,
3,3399,0.08519382029771805,,,
3,3435,,0.9787999987602234,0.07417843490839005,
3,3435,,,,0.9827015399932861
4,3449,0.007914752699434757,,,
4,3499,0.02609066851437092,,,
4,3549,0.019058872014284134,,,
